,88%,300000000000,20%,,,,
,,,,release tokens,repetition,train tokens,ratio
,flag,finepdfs-1.0.0,dan_Latn,11692057511,0.457946404627392,5354335699.85914,0.0178477856661971
,flag,finepdfs-1.0.0,fao_Latn,95662656,4,356957746.478873,0.00118985915492958
,flag,finepdfs-1.0.0,isl_Latn,3118801671,0.621867105446229,1939480167.60563,0.00646493389201877
,flag,finepdfs-1.0.0,nno_Latn,340047987,8,2720383896,0.00906794632
,flag,finepdfs-1.0.0,nob_Latn,9907782898,2.38587187928737,23638700602.4225,0.0787956686747418
,flag,finepdfs-1.0.0,swe_Latn,21867580434,0.100944610374006,2207414386.73237,0.00735804795577457
,flag,finepdfs-edu-1.0.0,dan_Latn,1680691305,2,3361382610,0.0112046087
,flag,finepdfs-edu-1.0.0,isl_Latn,249865550,2,499731100,0.00166577033333333
,flag,finepdfs-edu-1.0.0,nno_Latn,40649778,8,325198224,0.00108399408
,flag,finepdfs-edu-1.0.0,nob_Latn,1281536117,4,5126144468,0.0170871482266667
,flag,finepdfs-edu-1.0.0,swe_Latn,3269025201,2,6538050402,0.02179350134
,flag,finewiki-0.0.0,dan_Latn,187727268,,,0
,flag,finewiki-0.0.0,isl_Latn,32329289,,,0
,flag,finewiki-0.0.0,swe_Latn,650175359,,,0
,flag,hplt-4.0,clean/dan_Latn,73634357438,0.473459325951083,34862873239.4366,0.116209577464789
,flag,hplt-4.0,noisy/dan_Latn,4866140117,,,0
,flag,hplt-4.0,clean/fao_Latn,254967732,6,1427830985.91549,0.00475943661971831
,flag,hplt-4.0,clean/isl_Latn,7818210551,1,7818210551,0.0260607018366667
,flag,hplt-4.0,noisy/isl_Latn,758081659,1,758081659,0.00252693886333333
,flag,hplt-4.0,clean/nno_Latn,1222472617,8,9779780936,0.0325992697866667
,flag,hplt-4.0,noisy/nno_Latn,366487972,8,2931903776,0.00977301258666667
,flag,hplt-4.0,clean/nob_Latn,44472656226,2.42052214153011,107647049087.69,0.358823496958967
,flag,hplt-4.0,noisy/nob_Latn,3706165597,2,7412331194,0.0247077706466667
,flag,hplt-4.0,clean/swe_Latn,86768565174,0.403162816911623,34981859154.9296,0.116606197183099
,flag,ltg-saami-1.0,sme_Latn,205438634,16,3287018144,0.0109567271466667
,,,,,87.6582393436901%,262974718031.07,0.876582393436902
,,,,,,,
,16.5070422535211%,29300000000,dan_Latn,92060973639,16.5713996674566%,43578591549.2957,
,0.676056338028169%,1200000000,fao_Latn,350630388,0.678692136551123%,1784788732.39436,
,4.61971830985915%,8200000000,isl_Latn,11977288720,4.18880703060747%,11015503477.6056,
,6.92957746478873%,12300000000,nno_Latn,1969658354,5.99193220929256%,15757266832,
,54.4788732394366%,96700000000,nob_Latn,59368140838,54.6912746704114%,143824225352.113,
,0.225352112676056%,400000000,sme_Latn,205438634,1.24993694017827%,3287018144,
,16.5633802816901%,29400000000,swe_Latn,112555346168,16.6279573455025%,43727323943.662,
,,177500000000,,278487476741,,262974718031.07,
